Transaction ID,Item,n_items
10rDi2lqVq4Sfy54dXJNSEleV,Curry chicken,1
12gTflM5I5Ka9Yi60BuDQG2eV,Custom Amount,1
142veoIg5MkErIYhXL9iz60eV,Custom Amount,1
16GjwGIjlQ3fbibgDcOOZRzeV,Custom Amount,1
18d6EFWHuNDe3iadtx6C7MqeV,Custom Amount,1
18p2HjrFRKC8gDPTH7u1BS5eV,Custom Amount,1
1A6VtovKGA5vEgpGE3s57azeV,"Oxtail,Curry Chicken",2
1ArAyKli27Frcjh48iVyJCreV,Custom Amount,1
1E3LfbhNKbA8Vz6qR7Uu2z4eV,Custom Amount,1
1EfREhxZ136WR582WypFX6ieV,Chicken Fajitas,1
1G8fe2r1mAWWOAh81lxrUJjeV,'Nana Pudding,1
1GEbATA9HOAWp20X6v0fgGxeV,"BBQ Chicken,Chicken Fajitas",2
1GgJSC1Mn4EIBZgpu5jpsHmeV,Custom Amount,1
1I7iCdkL5bW3MK588sJRxPneV,Chicken Fajitas,1
1I974GG9zFS4SpHh6Wnx9fgeV,Custom Amount,1
1KIm7y2rzcElSPApg2uJfQmeV,BBQ Chicken,1
1MxgYvA34nRTH7Of1xb1uGzeV,Wings,1
1MzT1rbmjNvuQrQxEnkOAgAfV,Chicken Fajitas,1
1MzVc2ZNqcECG40pD2LXmPoeV,"Oxtail,Jerk Chicken,Seared Blackened Chicken Breast",3
1OkJqAWS6u3kGqoAvSW72tqeV,Jerk Chicken,1
1OnsZLmPILRRUQEpgPM2wXseV,Custom Amount,1
1Ou2e2PhNL4itKmqTv2cGKmeV,Custom Amount,1
1QtV6ovho8nroJPrlWZzvSreV,Chicken Fajitas,1
1QxbiLVokdqus2pr4vO4cK8eV,"Custom Amount,Custom Amount",2
1S0yBhtS67sc1ydLv7MLvEweV,Wing Meal,1
1WkZr6NuIuFAx79mBp4sy7qeV,Custom Amount,1
1Y9NpBgoX3mWj9yZOTd1h92eV,"BBQ Chicken,BBQ Chicken,Home Squeezed Lemonade,Baked Mac,CORNBREAD CASSEROLE ,Oreo Cheesecake Brownie,'Nana Pudding,Water,Set up Fee,Cabbage",10
1YphK03l9j28BcTZjWqsNureV,BBQ Chicken,1
1YrsHGYuT0dHws3DSyGuFN1eV,"Custom Amount,Custom Amount",2
1c9i0VgNEdLzFpPuNyzP4U7eV,Jerk Chicken,1
1cJm73BCp4BPG0Q2h3WBJO0eV,Custom Amount,1
1cRqHh9rPga50BwEzvd59A0eV,"BBQ Chicken,Baked Mac",2
1e4Lax204MWNFM1NMKGVQJkeV,Chicken Fajitas,1
