Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Event Type,Location,Dining Option,Customer ID,Customer Reference ID,Unit,Count
12/23/2018,12:48:53,Eastern Time (US & Canada),None,Custom Amount,1,,,,$21.00 ,$0.00 ,$21.00 ,$0.00 ,l8DdNLfGkLxzPHs0RNjpNf3eV,m2FJSBRQ0mPm0TecGiU14vMF,,,Payment,Authentic by Zee,,ET95G97MHS02PYQGZCJWEYVM8W,,ea,1
12/22/2018,11:46:37,Eastern Time (US & Canada),None,Custom Amount,1,,,,$17.50 ,$0.00 ,$17.50 ,$0.00 ,B8cxTZ8JhdRMMewIrnQnXb1eV,KN2WHnDz4BveHDz6wZPN0sMF,,,Payment,Authentic by Zee,,9FY2KQCGFX3E7A6SR5D0YPWCSM,,ea,1
12/22/2018,11:36:57,Eastern Time (US & Canada),None,Jerk Chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,5geWsSprRvqapEbFyDdP6hveV,iiRKKBeCaZgepOFmw3OTGxMF,,Juicy Grilled Leg Quarters steamed down in the perfect sweet and Spicy sauce!,Payment,Authentic by Zee,,J4X9N1NKMN3CCZA27TV71PP1GM,,ea,1
12/22/2018,11:36:57,Eastern Time (US & Canada),None,Custom Amount,1,,,,$5.00 ,$0.00 ,$5.00 ,$0.00 ,5geWsSprRvqapEbFyDdP6hveV,iiRKKBeCaZgepOFmw3OTGxMF,,,Payment,Authentic by Zee,,J4X9N1NKMN3CCZA27TV71PP1GM,,ea,1
12/22/2018,11:36:57,Eastern Time (US & Canada),None,Custom Amount,1,,,,$3.00 ,$0.00 ,$3.00 ,$0.00 ,5geWsSprRvqapEbFyDdP6hveV,iiRKKBeCaZgepOFmw3OTGxMF,,,Payment,Authentic by Zee,,J4X9N1NKMN3CCZA27TV71PP1GM,,ea,1
12/22/2018,11:36:57,Eastern Time (US & Canada),None,Custom Amount,1,,,,$5.00 ,$0.00 ,$5.00 ,$0.00 ,5geWsSprRvqapEbFyDdP6hveV,iiRKKBeCaZgepOFmw3OTGxMF,,,Payment,Authentic by Zee,,J4X9N1NKMN3CCZA27TV71PP1GM,,ea,1
12/22/2018,11:35:15,Eastern Time (US & Canada),Beef,Short Ribs,1,Regular,,,$8.50 ,$0.00 ,$8.50 ,$0.00 ,5Q2E9zHsudc7flfbp3GoVHieV,RelkXBUGXYpaiEAU12wiXzMF,,,Payment,Authentic by Zee,,T1ST79FX8507CNE3RBQ21AZPVG,,ea,1
12/15/2018,11:28:25,Eastern Time (US & Canada),None,Custom Amount,1,,,,$24.00 ,$0.00 ,$24.00 ,$0.00 ,JkQIICCnsfOJfLDup9lRRTieV,cH8n4LADREOaoOXTmnVq6yMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,1
12/6/2018,18:50:36,Eastern Time (US & Canada),None,Oxtail,3,Regular,,,$42.00 ,$0.00 ,$42.00 ,$0.00 ,P1ngyPHxmFl7hs4x3Blf0SgeV,Cnqfrl3zSO4X6YrWv0NugxMF,,,Payment,Authentic by Zee,,V1WC8K8H0H1FQD37DD4XJZG20C,,ea,3
12/1/2018,11:45:10,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,PF953ZJwPK92RDTtnQ9g8a0eV,w8jSb2EjYKG01Asi5hraYsMF,,,Payment,Authentic by Zee,,TB67HBDVVS2NAQ3RBM2FH4QAHW,,ea,1
12/1/2018,11:45:10,Eastern Time (US & Canada),None,Custom Amount,1,,,,$3.00 ,$0.00 ,$3.00 ,$0.00 ,PF953ZJwPK92RDTtnQ9g8a0eV,w8jSb2EjYKG01Asi5hraYsMF,,,Payment,Authentic by Zee,,TB67HBDVVS2NAQ3RBM2FH4QAHW,,ea,1
12/1/2018,11:36:16,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,TFicZos9M2ufy48jrkxsjLxeV,gH7bGJMoCWaSBvu81E2PxzMF,,,Payment,Authentic by Zee,,T1ST79FX8507CNE3RBQ21AZPVG,,ea,1
12/1/2018,11:32:13,Eastern Time (US & Canada),None,Jerk Chicken,1,White,4,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,RGBR8k7YxJwaJ94ID890cY0eV,fFxdL57xV4NRJzlJGkVjKQB,,,Payment,Authentic by Zee,,,,ea,1
12/1/2018,11:32:13,Eastern Time (US & Canada),Chicken,Jerk Chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,RGBR8k7YxJwaJ94ID890cY0eV,fFxdL57xV4NRJzlJGkVjKQB,,"Grilled to bronzed, then stewed down in a as hot as you can stand it homemade Jerk Sauce.",Payment,Authentic by Zee,,,,ea,1
11/17/2018,11:50:59,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,pcM4U1qT1xK5eLd68gYgZ9geV,MRX3UXN8uBB1FZMQOHKRDyMF,,,Payment,Authentic by Zee,,0YHP831WSN50MRF7GHZCGW6WAW,,ea,1
11/17/2018,11:49:01,Eastern Time (US & Canada),None,Chicken Fajitas,1,Regular,,,$7.50 ,$0.00 ,$7.50 ,$0.00 ,rJygIfTxLWudD3zY006b54keV,7tI8cp61a4aHIL3PoZ2WLQB,,"Chicken Breast grilled and cut up served on a flour tortilla, with seared bell peppers and onions with just the right amount of Cheesy goodness !",Payment,Authentic by Zee,,,,ea,1
11/17/2018,11:44:31,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,bHnZsbMiTta0iP2FHPAZSsteV,ge7O9bkM2qug80zhG1XGOuMF,,,Payment,Authentic by Zee,,TB67HBDVVS2NAQ3RBM2FH4QAHW,,ea,1
11/17/2018,11:43:22,Eastern Time (US & Canada),None,Chicken Fajitas,1,Regular,,,$7.50 ,$0.00 ,$7.50 ,$0.00 ,liU2AiXf5meiOztdp58b59meV,ZK7ovteUUDwen586dWSiLQB,,"Chicken Breast grilled and cut up served on a flour tortilla, with seared bell peppers and onions with just the right amount of Cheesy goodness !",Payment,Authentic by Zee,,,,ea,1
11/17/2018,11:41:50,Eastern Time (US & Canada),None,Jerk Chicken,1,White,4,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,RMs3PjcHz3CTum9g0W1NA76eV,QZX2aYmdNNLA2PmrjqTZWtMF,,,Payment,Authentic by Zee,,VGMBTYC4X519PSGCD3K56AMYER,,ea,1
11/17/2018,11:34:26,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,purTU5WSqDlFIi9T9ESKLCgeV,JQqmqsuoiXEeBA02xB3aKQB,,,Payment,Authentic by Zee,,PBYFAYA9E13FF7R9A3ZBAAVNK8,,ea,1
11/17/2018,11:34:26,Eastern Time (US & Canada),None,Chicken Fajitas,2,Regular,,,$15.00 ,$0.00 ,$15.00 ,$0.00 ,purTU5WSqDlFIi9T9ESKLCgeV,JQqmqsuoiXEeBA02xB3aKQB,,"Chicken Breast grilled and cut up served on a flour tortilla, with seared bell peppers and onions with just the right amount of Cheesy goodness !",Payment,Authentic by Zee,,PBYFAYA9E13FF7R9A3ZBAAVNK8,,ea,2
11/10/2018,11:41:15,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,ZSVFsHsBPHhDKrPP4YdB7o1eV,tQ7f2FheAjN0AJf2eX7EKQB,,,Payment,Authentic by Zee,,,,ea,1
